# RTLA osnoise histogram
# Time unit is microseconds (us)
# Duration:   0 01:00:00
Index   CPU-001   CPU-002   CPU-003   CPU-004   CPU-005   CPU-006   CPU-007
171           2         4         2         6         4         0         3 
172           3         2         5         2         4         2         2 
173           2         3         0         0         1         0         2 
174           4         1         0         3         3         3         2 
175           3         0         1         1         3         2         1 
176           1         1         2         0         3         0         0 
177           1         1         1         4         2         1         0 
178           0         3         5         5         0         2         0 
179           1         2         1         5         4         3         1 
180           2         4         2         1         3         3         3 
181           1         2         2         2         1         1         1 
182           1         3         0         1         0         1         2 
183           3         1         0         2         2         3         1 
184           1         3         1         1         2         1         1 
185           1         4         2         1         3         2         6 
186           2         2         4         1         2         2         1 
187           1         1         2         4         0         1         0 
188           3         1         1         2         1         0         0 
189           0         1         1         3         1         1         2 
190           1         2         4         0         1         0         1 
191           2         1         0         0         1         2         1 
192           1         2         2         2         3         2         0 
193           3         2         1         0         1         0         1 
194           1         1         1         0         0         2         0 
195           1         0         0         1         2         1         2 
196           0         1         1         1         0         3         0 
197           1         1         0         0         0         0         0 
198           0         0         0         1         3         1         0 
199           1         1         1         4         2         0         1 
200           0         1         0         2         1         0         1 
201           0         1         1         3         3         0         0 
202           1         0         1         0         0         1         2 
203           1         2         2         1         2         3         0 
204           1         1         0         0         0         0         1 
205           1         1         2         0         1         0         1 
206           1         0         0         0         1         1         1 
207           1         2         1         2         0         0         0 
208           1         0         0         3         0         2         0 
209           1         1         0         1         0         0         0 
210           0         2         0         1         1         0         0 
211           1         0         1         0         0         0         0 
212           0         0         1         1         0         0         0 
213           0         0         0         0         1         0         0 
214           0         1         0         0         0         0         0 
215           0         0         0         1         0         3         0 
216           1         0         2         0         0         1         0 
217           1         0         0         0         1         2         1 
218           0         0         0         0         1         2         1 
219           3         0         0         1         0         0         0 
220           0         0         0         0         1         0         0 
221           2         0         1         1         0         0         0 
222           0         1         1         1         0         1         1 
223           0         0         0         0         0         0         1 
225           0         0         0         2         0         0         0 
226           0         2         0         2         1         1         0 
227           0         0         0         0         2         0         1 
228           2         0         1         0         0         0         0 
229           0         0         0         1         0         0         1 
230           0         0         0         1         0         0         0 
232           0         1         0         0         1         0         0 
233           0         0         0         1         0         0         0 
235           0         0         0         0         0         0         1 
236           0         0         0         0         1         0         0 
239           1         0         0         0         0         0         0 
240           0         0         0         0         1         0         0 
241           0         0         0         0         0         1         0 
243           0         1         0         0         0         0         0 
244           0         0         0         0         1         0         0 
250           0         0         0         1         0         0         0 
251           0         0         0         0         1         0         0 
253           0         1         0         0         0         1         0 
255           0         0         0         0         0         0         1 
263           0         1         0         0         0         0         0 
264           0         0         0         1         0         0         0 
266           0         0         0         1         0         0         0 
272           0         0         0         0         0         1         0 
281           0         0         0         1         0         0         0 
286           0         0         0         0         0         1         0 
292           0         0         0         1         0         0         0 
293           0         0         0         1         0         0         0 
302           0         1         0         0         0         0         0 
304           1         0         0         0         0         0         0 
305           0         0         0         0         1         0         0 
306           0         0         0         1         0         0         0 
308           0         1         0         0         1         0         0 
312           0         0         0         0         0         1         0 
313           0         0         0         1         0         0         0 
317           0         0         0         0         1         0         0 
324           1         0         0         0         0         0         0 
326           0         1         0         0         0         0         0 
330           0         0         0         0         0         1         0 
358           0         0         0         2         0         0         0 
360           0         0         0         0         1         0         0 
390           0         0         0         1         0         0         0 
401           0         1         0         0         0         0         0 
406           0         0         0         1         0         0         0 
409           0         1         0         0         0         0         0 
411           0         0         0         1         0         0         0 
462           0         1         0         0         0         0         0 
473           0         1         0         0         0         0         0 
478           0         0         0         1         0         0         0 
482           0         0         0         0         1         0         0 
493           0         0         0         0         0         1         0 
618           0         1         0         0         0         0         0 
over:         0         0         0         0         0         0         0 
count:  7217708   7234539   7367749   7443137   7267315   7215262   7364396 
min:          1         1         1         1         1         1         1 
avg:       4.84      4.83      4.74      4.31      4.89      4.90      4.81 
max:        324       618       228       478       482       493       255 
